0.264694	306.750005	852.137558			70	59	4	28	45	6	34	7	18	10	65	64	37	57	9	30	71	51	26	19	69	68	63	41	40	42	39	16	5	67	1	29	73	27	20	46	47	44	33	75	74	66	50	15	62	22	55	48	43	32	0	72	61	21	60	14	56	53	13	58	52	38	8	2	23	17	54	24	49	31	11	25	3	12	36	35
0.267916	314.795999	860.183551			4	1	61	72	62	48	23	49	24	44	28	46	36	56	12	51	26	66	11	38	8	43	15	41	63	21	27	60	35	70	59	69	19	53	7	18	13	58	65	64	37	10	52	34	25	16	39	2	50	29	47	68	20	73	67	31	17	54	30	9	57	71	6	45	33	75	5	0	42	40	55	22	32	74	3	14
0.305345	427.759762	973.147314			23	17	49	43	2	22	55	40	42	72	61	21	63	41	20	47	3	16	31	24	54	8	45	36	69	46	1	32	62	48	15	39	57	37	71	11	66	28	19	56	58	13	10	64	18	7	33	51	44	26	53	12	14	29	5	50	38	9	30	65	52	34	6	25	75	67	74	73	60	68	59	70	35	4	27	0
0.253632	280.734198	826.121751			1	73	5	75	33	12	53	18	58	13	10	65	64	37	6	32	72	15	43	31	38	71	57	39	50	22	55	40	41	42	62	16	2	23	48	0	20	27	60	63	21	61	46	19	4	47	28	44	26	51	7	34	45	66	25	11	8	49	17	54	24	30	9	52	56	14	36	69	59	70	68	35	29	74	3	67
0.269164	317.971981	863.359533			55	42	0	62	32	15	2	43	31	24	17	49	8	39	38	71	11	16	25	66	75	47	68	35	36	19	69	59	56	12	13	58	65	10	64	37	26	44	29	3	74	9	30	54	23	48	22	50	52	18	53	61	72	5	67	33	45	7	34	57	6	51	28	14	4	70	46	73	1	27	20	60	21	63	41	40
0.312372	453.993301	999.380854			60	70	59	69	63	41	0	38	57	52	7	12	19	36	35	68	21	72	48	23	22	42	40	55	54	30	64	10	13	5	32	1	66	33	3	29	67	74	25	11	39	31	43	16	75	6	34	45	44	46	20	61	50	2	15	62	4	14	56	53	18	58	65	9	24	17	49	8	71	37	51	26	28	47	73	27
0.302166	416.505375	961.892928			31	50	16	7	34	18	53	51	15	22	48	43	2	20	68	60	63	40	55	49	54	71	26	4	36	70	35	21	41	42	0	32	67	74	66	75	3	44	28	46	47	33	57	65	64	37	9	30	24	17	23	62	72	61	1	29	73	27	5	6	52	10	13	58	14	59	69	19	56	12	45	25	39	11	38	8
0.310760	447.801818	993.189371			33	44	72	0	22	48	43	31	2	21	60	35	36	4	46	47	28	57	9	50	15	41	63	55	23	17	49	25	66	45	18	58	65	64	14	69	59	70	20	29	75	38	71	11	6	7	12	56	19	68	27	61	42	40	62	32	1	73	26	51	53	13	37	30	54	24	8	39	16	5	67	74	3	10	52	34
0.283154	356.078840	901.466393			0	62	15	48	22	40	42	21	61	73	27	60	63	41	55	23	17	49	71	11	18	14	46	47	28	26	12	51	66	6	57	30	54	24	31	44	19	36	56	53	34	7	45	33	67	29	3	5	72	1	20	68	4	35	69	59	70	74	25	16	39	8	38	9	37	52	64	10	65	58	13	75	50	43	2	32
0.276054	336.143298	881.530850			17	54	24	30	75	35	70	68	60	21	63	42	41	40	62	32	73	47	4	28	53	34	7	51	26	44	46	20	3	18	13	58	65	64	10	52	37	9	57	39	25	74	29	1	27	61	72	0	55	15	50	16	38	71	6	33	66	11	31	8	49	43	2	5	36	59	69	19	14	56	12	45	67	22	48	23
